倉庫名,品番,月,数量
九州物流,B02000SC,2025-04-01,0.0
九州物流,B02000SC,2025-05-01,0.0
九州物流,B02000SC,2025-06-01,0.0
九州物流,B02000SC,2025-07-01,0.0
九州物流,B02000SC,2025-08-01,0.0
九州物流,B02000SC,2025-09-01,1.0
九州物流,B02000SC,2025-10-01,0.0
九州物流,B02000SC,2025-11-01,0.0
九州物流,B02000SC,2025-12-01,0.0
九州物流,B02000SC,2026-01-01,0.0
九州物流,B02000SC,2026-02-01,0.0
九州物流,B02000SC,2026-03-01,0.0
九州物流,B02000SG,2025-04-01,0.0
九州物流,B02000SG,2025-05-01,0.0
九州物流,B02000SG,2025-06-01,1.0
九州物流,B02000SG,2025-07-01,0.0
九州物流,B02000SG,2025-08-01,0.0
九州物流,B02000SG,2025-09-01,0.0
九州物流,B02000SG,2025-10-01,0.0
九州物流,B02000SG,2025-11-01,2.0
九州物流,B02000SG,2025-12-01,1.0
九州物流,B02000SG,2026-01-01,1.0
九州物流,B02000SG,2026-02-01,0.0
九州物流,B02000SG,2026-03-01,0.0
九州物流,B02000WC,2025-04-01,0.0
九州物流,B02000WC,2025-05-01,0.0
九州物流,B02000WC,2025-06-01,0.0
九州物流,B02000WC,2025-07-01,0.0
九州物流,B02000WC,2025-08-01,1.0
九州物流,B02000WC,2025-09-01,0.0
九州物流,B02000WC,2025-10-01,0.0
九州物流,B02000WC,2025-11-01,0.0
九州物流,B02000WC,2025-12-01,0.0
九州物流,B02000WC,2026-01-01,0.0
九州物流,B02000WC,2026-02-01,0.0
九州物流,B02000WC,2026-03-01,0.0
九州物流,B02015SC,2025-04-01,0.0
九州物流,B02015SC,2025-05-01,0.0
九州物流,B02015SC,2025-06-01,0.0
九州物流,B02015SC,2025-07-01,0.0
九州物流,B02015SC,2025-08-01,2.0
九州物流,B02015SC,2025-09-01,2.0
九州物流,B02015SC,2025-10-01,0.0
九州物流,B02015SC,2025-11-01,0.0
九州物流,B02015SC,2025-12-01,30.0
九州物流,B02015SC,2026-01-01,0.0
九州物流,B02015SC,2026-02-01,3.0
九州物流,B02015SC,2026-03-01,0.0
九州物流,B02015SG,2025-04-01,0.0
九州物流,B02015SG,2025-05-01,0.0
九州物流,B02015SG,2025-06-01,1.0
九州物流,B02015SG,2025-07-01,0.0
九州物流,B02015SG,2025-08-01,0.0
九州物流,B02015SG,2025-09-01,0.0
九州物流,B02015SG,2025-10-01,0.0
九州物流,B02015SG,2025-11-01,0.0
九州物流,B02015SG,2025-12-01,0.0
九州物流,B02015SG,2026-01-01,0.0
九州物流,B02015SG,2026-02-01,1.0
九州物流,B02015SG,2026-03-01,1.0
九州物流,B02020SC,2025-04-01,0.0
九州物流,B02020SC,2025-05-01,0.0
九州物流,B02020SC,2025-06-01,0.0
九州物流,B02020SC,2025-07-01,0.0
九州物流,B02020SC,2025-08-01,4.0
九州物流,B02020SC,2025-09-01,0.0
九州物流,B02020SC,2025-10-01,0.0
九州物流,B02020SC,2025-11-01,6.0
九州物流,B02020SC,2025-12-01,19.0
九州物流,B02020SC,2026-01-01,0.0
九州物流,B02020SC,2026-02-01,4.0
九州物流,B02020SC,2026-03-01,1.0
九州物流,B02020SC2,2025-04-01,0.0
九州物流,B02020SC2,2025-05-01,0.0
九州物流,B02020SC2,2025-06-01,0.0
九州物流,B02020SC2,2025-07-01,0.0
九州物流,B02020SC2,2025-08-01,0.0
九州物流,B02020SC2,2025-09-01,0.0
九州物流,B02020SC2,2025-10-01,0.0
九州物流,B02020SC2,2025-11-01,0.0
九州物流,B02020SC2,2025-12-01,0.0
九州物流,B02020SC2,2026-01-01,0.0
九州物流,B02020SC2,2026-02-01,0.0
九州物流,B02020SC2,2026-03-01,3.0
九州物流,B02020SG,2025-04-01,0.0
九州物流,B02020SG,2025-05-01,0.0
九州物流,B02020SG,2025-06-01,1.0
九州物流,B02020SG,2025-07-01,0.0
九州物流,B02020SG,2025-08-01,0.0
九州物流,B02020SG,2025-09-01,4.0
九州物流,B02020SG,2025-10-01,1.0
九州物流,B02020SG,2025-11-01,0.0
九州物流,B02020SG,2025-12-01,0.0
九州物流,B02020SG,2026-01-01,4.0
九州物流,B02020SG,2026-02-01,0.0
九州物流,B02020SG,2026-03-01,2.0
九州物流,B02025SC,2025-04-01,0.0
九州物流,B02025SC,2025-05-01,0.0
九州物流,B02025SC,2025-06-01,1.0
九州物流,B02025SC,2025-07-01,0.0
九州物流,B02025SC,2025-08-01,0.0
九州物流,B02025SC,2025-09-01,0.0
九州物流,B02025SC,2025-10-01,0.0
九州物流,B02025SC,2025-11-01,0.0
九州物流,B02025SC,2025-12-01,3.0
九州物流,B02025SC,2026-01-01,0.0
九州物流,B02025SC,2026-02-01,0.0
九州物流,B02025SC,2026-03-01,0.0
九州物流,B02030SC,2025-04-01,0.0
九州物流,B02030SC,2025-05-01,0.0
九州物流,B02030SC,2025-06-01,0.0
九州物流,B02030SC,2025-07-01,0.0
九州物流,B02030SC,2025-08-01,0.0
九州物流,B02030SC,2025-09-01,0.0
九州物流,B02030SC,2025-10-01,0.0
九州物流,B02030SC,2025-11-01,0.0
九州物流,B02030SC,2025-12-01,8.0
九州物流,B02030SC,2026-01-01,6.0
九州物流,B02030SC,2026-02-01,5.0
九州物流,B02030SC,2026-03-01,0.0
九州物流,B02030SG,2025-04-01,1.0
九州物流,B02030SG,2025-05-01,0.0
九州物流,B02030SG,2025-06-01,0.0
九州物流,B02030SG,2025-07-01,0.0
九州物流,B02030SG,2025-08-01,2.0
九州物流,B02030SG,2025-09-01,1.0
九州物流,B02030SG,2025-10-01,0.0
九州物流,B02030SG,2025-11-01,0.0
九州物流,B02030SG,2025-12-01,2.0
九州物流,B02030SG,2026-01-01,0.0
九州物流,B02030SG,2026-02-01,1.0
九州物流,B02030SG,2026-03-01,1.0
九州物流,B02040SC,2025-04-01,0.0
九州物流,B02040SC,2025-05-01,0.0
九州物流,B02040SC,2025-06-01,0.0
九州物流,B02040SC,2025-07-01,0.0
九州物流,B02040SC,2025-08-01,0.0
九州物流,B02040SC,2025-09-01,0.0
九州物流,B02040SC,2025-10-01,0.0
九州物流,B02040SC,2025-11-01,1.0
九州物流,B02040SC,2025-12-01,3.0
九州物流,B02040SC,2026-01-01,0.0
九州物流,B02040SC,2026-02-01,0.0
九州物流,B02040SC,2026-03-01,0.0
九州物流,B02040SG,2025-04-01,0.0
九州物流,B02040SG,2025-05-01,1.0
九州物流,B02040SG,2025-06-01,0.0
九州物流,B02040SG,2025-07-01,0.0
九州物流,B02040SG,2025-08-01,0.0
九州物流,B02040SG,2025-09-01,0.0
九州物流,B02040SG,2025-10-01,0.0
九州物流,B02040SG,2025-11-01,1.0
九州物流,B02040SG,2025-12-01,0.0
九州物流,B02040SG,2026-01-01,0.0
九州物流,B02040SG,2026-02-01,0.0
九州物流,B02040SG,2026-03-01,0.0
九州物流,B02050SC,2025-04-01,1.0
九州物流,B02050SC,2025-05-01,0.0
九州物流,B02050SC,2025-06-01,0.0
九州物流,B02050SC,2025-07-01,1.0
九州物流,B02050SC,2025-08-01,0.0
九州物流,B02050SC,2025-09-01,0.0
九州物流,B02050SC,2025-10-01,0.0
九州物流,B02050SC,2025-11-01,0.0
九州物流,B02050SC,2025-12-01,2.0
九州物流,B02050SC,2026-01-01,1.0
九州物流,B02050SC,2026-02-01,0.0
九州物流,B02050SC,2026-03-01,0.0
九州物流,B02050SG,2025-04-01,0.0
九州物流,B02050SG,2025-05-01,0.0
