販売統計名,品番,202504,202505,202506,202507,202508,202509,202510,202511,202512,202601,202602,202603
民間さび止めPB,IE1010SG,,7,,2,,5,8,,,3,,
民間さび止めPB,IE1010WG,,,4,1,,,,,,,,
民間さび止めPB,IE1507SG,,,1,,,,5,,,,,
民間さび止めPB,IE1510SC,,,,,1,,,,,,,
民間さび止めPB,IE1510SG,,13,7,3,5,4,36,6,4,4,11,5
民間さび止めPB,IE1510WG,,,2,,,,,,10,,,1
民間さび止めPB,IE1515SC,,,,1,,,,,,,,
民間さび止めPB,IE1515SG,5,,,52,,1,1,13,8,1,6,
民間さび止めPB,IE1515WG,1,1,,,,1,,,,,,3
民間さび止めPB,IE2010SC,,,,,,,,,1,,,
民間さび止めPB,IE2010SG,4,1,4,6,,4,6,6,12,1,1,
民間さび止めPB,IE2010WC,,,5,,,,,3,,,,
民間さび止めPB,IE2010WG,,,,,,,,4,1,,,1
民間さび止めPB,IE2015SC,,,,,,,,,,,1,
民間さび止めPB,IE2015SG,2,,9,1,4,14,,11,6,5,14,1
民間さび止めPB,IE2015WC,,1,,,,,,,,,,3
民間さび止めPB,IE2015WG,,,,,2,,2,3,,,,1
民間さび止めPB,IE2020SC,,,,,,,,,,,4,
民間さび止めPB,IE2020SG,9,3,10,4,4,16,4,19,8,4,4,10
民間さび止めPB,IE2020WG,,,,,,2,,,,,,
民間さび止めPB,IE2515SG,,1,1,1,4,,,2,,,,
民間さび止めPB,IE2515WG,,,,,,,1,,2,,,
民間さび止めPB,IE2520SG,2,,3,1,10,1,,16,,,3,2
民間さび止めPB,IE2525SG,4,,3,,,1,3,1,1,,,1
民間さび止めPB,IE2525WG,,,,,,,1,,,,,
民間さび止めPB,IE3010SG,,,,,,1,,,,,2,2
民間さび止めPB,IE3015SG,,,,,,,,2,2,,1,1
民間さび止めPB,IE3020SC,,,,,,,,2,,,,3
民間さび止めPB,IE3020SG,1,,4,9,3,1,3,9,9,,1,3
民間さび止めPB,IE3020WC,,1,,,,,,,,,,
民間さび止めPB,IE3020WG,1,1,,,,,,,,,,
民間さび止めPB,IE3025SG,,,,,,,,4,,,,
民間さび止めPB,IE3030SC,,3,,,,,,,,,1,
民間さび止めPB,IE3030SG,5,,6,,8,3,8,6,7,2,5,1
民間さび止めPB,IE3030WC,,1,,,,,,,,,,
民間さび止めPB,IE3030WG,,,,,,1,,,,,,
民間さび止めPB,IE3530SG,,,,,,,,,2,,,
民間さび止めPB,IE3535SG,,,,,1,1,1,1,,,,
民間さび止めPB,IE4020SG,,4,,,1,1,,6,,1,2,2
民間さび止めPB,IE4030SC,,6,,,,,,,,,,
民間さび止めPB,IE4030SG,1,1,,,2,1,2,,,,1,2
民間さび止めPB,IE4040SG,,2,1,8,,,,4,,1,1,1
民間さび止めPB,IE4040WG,,,,,,,,1,,,,
民間さび止めPB,IE5030SG,,1,17,,2,,,1,,,,
民間さび止めPB,IE5030WC,1,,,,,,,,,,,
民間さび止めPB,IE5030WG,1,,,,,,,,,,,
民間さび止めPB,IE5040SG,2,5,,,2,2,1,1,,,2,
民間さび止めPB,IE5040WG,,,,1,,,,,,,,
民間さび止めPB,IE5050SG,1,,2,3,,,,1,3,2,3,
民間さび止めPB,IE6040SG,,1,,,,,,,,,5,
民間さび止めPB,IE6050SG,,1,,,,,,,,1,,
